#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  4 15:19:23 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	324	0.051	551
0.076	378	0.102	552
0.127	438	0.152	551
0.178	493	0.203	552
0.229	543	0.253	552
0.279	590	0.305	552
0.330	633	0.355	552
0.380	669	0.406	552
0.432	686	0.457	553
0.482	686	0.507	552
0.533	662	0.558	552
0.583	626	0.609	553
0.634	597	0.660	553
0.684	555	0.710	552
0.736	504	0.761	552
0.786	458	0.811	551
0.837	402	0.863	552
0.887	345	0.913	551
0.938	289	0.964	551
0.989	242	1.014	551
1.040	204	1.065	551
1.090	174	1.116	551
1.141	157	1.167	551
1.191	157	1.217	550
1.243	185	1.268	551
1.293	222	1.318	550
1.344	230	1.369	551
1.394	267	1.420	551
1.445	310	1.471	551
1.495	360	1.521	552
1.547	417	1.572	553
1.597	464	1.622	552
1.648	513	1.674	552
1.698	560	1.724	552
1.749	602	1.775	552
1.800	632	1.825	552
1.851	647	1.876	553
1.901	645	1.927	552
1.952	628	1.978	552
2.002	605	2.028	553
2.054	578	2.079	552
2.104	540	2.129	552
2.155	498	2.180	552
2.205	450	2.231	552
2.256	401	2.282	552
2.306	346	2.332	551
2.358	297	2.383	552
2.408	256	2.433	551
2.459	223	2.485	551
2.509	198	2.535	551
2.560	186	2.586	552
2.611	191	2.636	551
2.662	207	2.687	551
2.712	225	2.738	551
2.763	246	2.789	552
2.813	280	2.839	551
2.865	320	2.890	550
2.915	368	2.940	552
2.966	414	2.992	552
3.016	459	3.042	551
3.067	502	3.093	552
3.117	542	3.143	552
3.169	578	3.194	552
3.219	602	3.244	552
3.270	613	3.296	551
3.320	612	3.346	551
3.371	599	3.397	552
3.422	580	3.447	551
3.473	554	3.498	551
3.523	522	3.549	551
3.574	484	3.600	552
3.624	443	3.650	551
3.676	398	3.701	550
3.726	352	3.751	551
3.777	311	3.803	551
3.827	275	3.853	551
3.878	247	3.904	551
3.928	227	3.954	551
3.980	217	4.005	552
4.030	217	4.055	551
4.081	223	4.107	551
4.131	238	4.157	550
4.182	258	4.208	551
4.233	287	4.258	552
4.284	323	4.309	551
4.334	365	4.360	552
4.385	409	4.411	552
4.435	449	4.461	552
4.487	488	4.512	551
4.537	524	4.562	551
4.588	554	4.614	551
4.638	575	4.664	552
4.689	585	4.715	552
4.739	588	4.765	552
4.791	580	4.816	551
4.841	564	4.866	552
4.892	541	4.918	551
4.942	512	4.968	552
4.993	478	5.019	553
5.044	440	5.069	551
5.095	399	5.120	552
5.145	360	5.171	552
5.196	322	5.222	551
5.246	290	5.272	551
5.298	265	5.323	551
5.348	247	5.373	551
5.399	237	5.425	551
5.449	236	5.475	552
5.500	241	5.526	551
5.550	254	5.576	551
5.602	273	5.627	551
5.652	300	5.677	552
5.703	332	5.729	550
5.753	369	5.779	551
5.804	407	5.830	552
5.855	446	5.880	552
5.906	481	5.931	551
5.956	511	5.982	552
6.007	537	6.033	552
6.057	556	6.083	552
6.109	566	6.134	552
6.159	568	6.184	552
6.210	564	6.236	552
6.260	549	6.286	553
6.311	529	6.337	551
6.361	502	6.387	551
6.413	472	6.438	551
6.463	437	6.488	552
6.514	401	6.540	552
6.564	365	6.590	552
6.615	332	6.641	551
6.666	302	6.691	551
6.717	278	6.742	551
6.768	263	6.793	551
6.818	252	6.844	551
6.869	250	6.894	551
6.920	256	6.945	552
6.971	268	6.995	551
7.021	286	7.047	552
7.072	310	7.097	551
7.122	339	7.148	551
7.174	371	7.198	551
7.224	405	7.249	551
7.275	440	7.299	551
7.325	472	7.351	552
7.376	500	7.401	552
7.426	524	7.452	552
7.478	540	7.502	552
7.528	552	7.553	552
7.579	554	7.604	551
7.629	550	7.655	552
7.680	537	7.705	552
7.731	519	7.756	551
7.782	495	7.806	552
7.832	466	7.858	552
7.883	435	7.908	551
7.933	403	7.959	551
7.985	371	8.009	551
8.035	339	8.060	551
8.086	313	8.110	551
8.136	291	8.162	551
8.187	276	8.212	551
8.237	266	8.263	551
8.289	264	8.313	552
8.339	268	8.364	551
8.390	279	8.415	552
8.440	296	8.466	552
8.491	318	8.516	551
8.542	344	8.567	551
8.593	374	8.617	551
8.643	406	8.669	552
8.694	437	8.719	551
8.744	466	8.770	551
8.796	492	8.820	552
8.846	513	8.871	551
8.897	528	8.921	551
8.947	537	8.973	551
8.998	542	9.023	552
9.048	537	9.074	551
9.100	527	9.124	551
9.150	510	9.175	552
9.201	488	9.226	552
9.251	463	9.277	552
9.302	434	9.327	551
9.353	403	9.378	552
9.404	374	9.428	552
9.454	347	9.480	552
9.505	321	9.530	551
9.555	301	9.581	551
9.607	287	9.631	551
9.657	278	9.682	551
9.708	275	9.732	552
9.758	279	9.784	551
9.809	289	9.835	551
9.859	304	9.885	551
9.911	325	9.936	551
9.961	349	9.986	550
10.012	376	10.038	551
10.062	405	10.088	552
10.113	434	10.139	552
10.164	461	10.189	551
10.215	484	10.240	551
10.265	505	10.291	551
10.316	519	10.342	552
10.366	528	10.392	551
10.418	530	10.443	552
10.468	526	10.493	552
10.519	517	10.545	551
10.569	502	10.595	552
10.620	482	10.646	551
10.670	458	10.696	553
10.722	432	10.747	552
10.772	404	10.797	553
10.823	377	10.849	552
10.873	350	10.899	552
10.924	328	10.950	551
10.975	309	11.000	551
11.026	296	11.051	551
11.076	287	11.102	551
11.127	286	11.153	551
11.177	289	11.203	551
11.229	299	11.254	551
11.279	313	11.304	551
11.330	332	11.356	551
11.380	354	11.406	550
11.431	379	11.457	551
11.481	405	11.507	551
11.533	432	11.558	552
11.583	456	11.608	552
11.634	478	11.660	552
11.684	496	11.710	552
11.735	510	11.761	552
11.786	519	11.811	552
11.837	521	11.862	551
11.887	518	11.913	552
11.938	509	11.964	552
11.988	495	12.014	552
12.040	476	12.065	552
12.090	454	12.115	550
12.141	430	12.167	552
12.191	405	12.217	551
12.242	378	12.268	552
12.292	355	12.318	551
12.344	334	12.369	551
12.394	317	12.419	551
12.445	305	12.471	551
12.495	297	12.521	551
12.546	294	12.572	551
12.597	298	12.622	551
12.648	306	12.673	552
12.698	320	12.724	551
12.749	337	12.775	551
12.799	358	12.825	552
12.851	382	12.876	551
12.901	406	12.926	552
12.952	431	12.978	552
13.002	453	13.028	551
13.053	474	13.079	551
13.104	491	13.129	551
13.155	504	13.180	551
13.205	511	13.230	551
13.256	514	13.282	551
13.306	510	13.332	551
13.357	502	13.383	551
13.408	489	13.433	551
13.459	472	13.484	552
13.509	452	13.535	552
13.560	429	13.586	551
13.610	405	13.636	550
13.662	382	13.687	551
13.712	359	13.737	551
13.763	340	13.789	551
13.813	324	13.839	551
13.864	313	13.890	551
13.915	305	13.940	551
13.966	303	13.991	551
14.016	306	14.041	551
14.067	314	14.093	552
14.117	327	14.143	551
14.168	343	14.194	551
14.219	362	14.244	551
14.270	384	14.295	551
14.321	406	14.346	551
14.371	428	14.397	551
14.422	450	14.447	551
14.473	469	14.498	551
14.524	485	14.548	551
14.574	497	14.600	551
14.625	504	14.650	551
14.675	506	14.701	551
14.727	504	14.751	551
14.777	495	14.802	552
14.828	484	14.852	552
14.878	468	14.904	551
14.929	449	14.954	551
14.979	428	15.005	552
15.031	406	15.055	551
15.081	385	15.106	552
15.132	364	15.157	552
15.182	345	15.208	551
15.233	331	15.258	551
15.284	320	15.309	551
15.335	313	15.359	551
15.385	310	15.411	551
15.436	313	15.461	551
15.486	320	15.512	551
15.538	332	15.562	552
15.588	347	15.613	551
15.639	365	15.664	551
15.689	385	15.715	552
15.740	406	15.765	551
15.790	427	15.816	551
15.842	448	15.866	552
15.892	466	15.917	552
15.943	480	15.968	551
15.993	492	16.019	551
16.044	498	16.069	552
16.095	499	16.120	552
16.146	497	16.170	552
16.196	490	16.222	552
16.247	479	16.272	551
16.297	464	16.323	551
16.349	446	16.373	551
16.399	426	16.424	551
16.450	406	16.475	551
16.500	386	16.526	551
16.551	367	16.576	552
16.601	349	16.627	551
16.653	336	16.677	551
16.703	325	16.728	551
16.754	319	16.779	551
16.804	318	16.830	551
16.855	320	16.880	551
16.906	328	16.931	551
16.957	338	16.981	552
17.007	352	17.033	551
17.058	369	17.083	551
17.108	388	17.134	551
17.160	407	17.184	551
17.210	427	17.235	551
17.261	445	17.286	552
17.311	463	17.337	551
17.362	475	17.388	551
17.412	486	17.438	552
17.464	492	17.489	551
17.514	494	17.539	551
17.565	491	17.591	551
17.615	485	17.641	550
17.666	473	17.692	551
17.717	460	17.742	551
17.768	443	17.793	551
17.818	425	17.844	551
17.869	406	17.895	551
17.919	388	17.945	550
17.971	369	17.996	552
18.021	354	18.046	550
18.072	341	18.098	551
18.122	332	18.148	551
18.173	326	18.199	551
18.224	324	18.249	551
18.275	327	18.300	551
18.325	333	18.350	551
18.376	344	18.402	552
18.426	356	18.452	551
18.477	372	18.503	551
18.528	390	18.553	551
18.579	407	18.604	551
18.629	426	18.655	552
18.680	443	18.706	550
18.730	459	18.756	551
18.782	471	18.807	551
18.832	481	18.857	551
18.883	487	18.909	551
18.933	489	18.959	551
18.984	486	19.010	551
19.035	479	19.060	551
19.086	469	19.111	551
19.136	456	19.161	551
19.187	441	19.213	552
19.237	424	19.263	551
19.288	406	19.314	551
19.339	389	19.364	552
19.390	372	19.415	551
19.440	357	19.466	551
19.491	345	19.517	551
19.541	337	19.567	551
19.593	332	19.618	551
19.643	331	19.668	551
19.694	332	19.720	551
19.744	339	19.770	551
19.795	348	19.821	551
19.846	360	19.871	550
19.897	376	19.922	551
19.947	392	19.972	552
19.998	409	20.024	551
20.048	426	20.074	552
20.099	442	20.125	551
20.150	456	20.175	550
20.201	468	20.226	551
20.251	476	20.277	551
20.302	481	20.328	551
20.352	483	20.378	551
20.404	481	20.429	551
20.454	474	20.479	552
20.505	465	20.531	551
20.555	452	20.581	551
20.606	438	20.632	551
