#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  4 14:25:12 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	560	0.052	538
0.077	561	0.102	546
0.127	561	0.153	554
0.179	561	0.203	559
0.229	561	0.254	563
0.280	561	0.305	565
0.330	561	0.356	565
0.381	561	0.406	564
0.432	561	0.457	560
0.483	561	0.507	555
0.533	561	0.558	548
0.584	561	0.609	540
0.634	561	0.660	532
0.685	562	0.710	523
0.736	561	0.761	515
0.787	561	0.811	507
0.837	561	0.863	500
0.888	560	0.913	495
0.938	561	0.964	491
0.990	561	1.014	489
1.040	561	1.065	488
1.091	561	1.116	490
1.141	561	1.167	494
1.192	561	1.217	499
1.243	561	1.268	505
1.294	561	1.318	513
1.344	561	1.369	522
1.395	561	1.420	529
1.445	561	1.471	538
1.496	561	1.521	545
1.547	561	1.572	552
1.598	561	1.623	557
1.648	561	1.674	561
1.699	562	1.725	562
1.749	561	1.775	562
1.801	561	1.826	561
1.851	561	1.876	558
1.902	561	1.928	552
1.952	561	1.978	546
2.003	561	2.029	539
2.054	561	2.079	531
2.105	561	2.130	523
2.155	561	2.180	515
2.206	562	2.232	508
2.256	561	2.282	502
2.307	561	2.333	497
2.358	562	2.383	493
2.409	561	2.434	491
2.459	562	2.485	491
2.510	561	2.536	493
2.560	561	2.586	497
2.612	561	2.637	501
2.662	561	2.687	508
2.713	561	2.739	514
2.763	561	2.789	523
2.814	561	2.840	529
2.865	561	2.890	537
2.916	561	2.941	544
2.966	562	2.992	550
3.017	561	3.043	555
3.067	562	3.093	559
3.118	562	3.144	561
3.169	561	3.194	560
3.220	561	3.245	559
3.270	561	3.296	556
3.321	561	3.347	552
3.371	561	3.397	544
3.423	561	3.448	539
3.473	561	3.498	530
3.524	561	3.550	524
3.574	561	3.600	516
3.625	561	3.651	509
3.676	561	3.701	503
3.727	562	3.752	498
3.777	562	3.803	495
3.828	562	3.854	494
3.878	561	3.904	493
3.929	561	3.955	495
3.980	561	4.005	498
4.031	561	4.056	503
4.081	561	4.107	509
4.132	561	4.158	515
4.182	561	4.208	522
4.234	561	4.259	530
4.284	562	4.309	537
4.335	561	4.361	543
4.385	562	4.411	549
4.436	561	4.462	553
4.487	561	4.512	557
4.538	561	4.563	558
4.588	562	4.614	559
4.639	561	4.665	556
4.689	561	4.715	553
4.740	561	4.766	549
4.791	561	4.816	544
4.842	561	4.867	538
4.892	562	4.918	530
4.943	561	4.969	523
4.993	561	5.019	516
5.045	561	5.070	510
5.095	561	5.120	505
5.146	561	5.172	500
5.196	561	5.222	498
5.247	561	5.273	495
5.298	561	5.323	496
5.349	561	5.374	497
5.399	561	5.425	501
5.450	561	5.476	505
5.500	561	5.526	510
5.552	561	5.577	516
5.602	560	5.627	523
5.653	561	5.678	530
5.703	562	5.729	536
5.754	561	5.780	542
5.804	562	5.830	548
5.856	561	5.881	552
5.906	562	5.931	554
5.957	561	5.983	556
6.007	561	6.033	556
6.058	562	6.084	554
6.109	561	6.134	552
6.160	561	6.185	547
6.210	561	6.236	543
6.261	561	6.287	536
6.311	561	6.337	530
6.363	561	6.388	523
6.413	561	6.438	517
6.464	561	6.489	511
6.514	561	6.540	506
6.565	561	6.591	502
6.615	560	6.641	499
6.667	561	6.692	498
6.717	561	6.742	498
6.768	561	6.794	500
6.818	561	6.844	503
6.869	561	6.895	507
6.920	561	6.945	511
6.971	561	6.996	517
7.021	561	7.047	524
7.072	560	7.098	530
7.122	561	7.148	536
7.174	561	7.199	541
7.224	561	7.249	546
7.275	561	7.300	550
7.325	561	7.351	553
7.376	561	7.402	555
7.426	561	7.452	553
7.478	561	7.503	552
7.528	561	7.553	551
7.579	561	7.605	546
7.629	561	7.655	540
7.680	561	7.706	535
7.731	561	7.756	529
7.782	561	7.807	523
7.832	561	7.858	517
7.883	562	7.909	511
7.933	561	7.959	507
7.985	561	8.010	504
8.035	561	8.060	501
8.086	562	8.112	501
8.136	561	8.162	499
8.187	562	8.213	502
8.237	561	8.263	504
8.289	561	8.314	508
8.339	561	8.364	513
8.390	561	8.416	518
8.440	561	8.466	525
8.491	562	8.517	530
8.542	561	8.567	536
8.593	561	8.618	541
8.643	560	8.669	545
8.694	561	8.720	548
8.744	561	8.770	551
8.796	561	8.821	552
8.846	561	8.871	553
8.897	561	8.923	551
8.947	561	8.973	547
8.998	561	9.024	544
9.048	561	9.074	539
9.100	561	9.125	534
9.150	561	9.175	529
9.201	562	9.227	523
9.251	561	9.277	518
9.302	561	9.328	513
9.353	561	9.378	508
9.404	561	9.429	505
9.454	561	9.480	503
9.505	562	9.531	502
9.555	562	9.581	502
9.607	561	9.632	504
9.657	561	9.682	507
9.708	561	9.734	510
9.758	561	9.784	514
9.809	561	9.835	519
9.859	561	9.885	525
9.911	562	9.936	530
9.961	561	9.986	535
10.012	562	10.038	540
10.062	561	10.088	544
10.113	562	10.139	547
10.164	561	10.189	550
10.215	561	10.240	550
10.265	561	10.291	549
10.316	562	10.342	548
10.366	562	10.392	546
10.418	561	10.443	543
10.468	561	10.493	538
10.519	561	10.545	532
10.569	561	10.595	528
10.620	561	10.646	523
10.670	561	10.696	518
10.722	562	10.747	513
10.773	561	10.797	510
10.823	562	10.849	506
10.874	561	10.899	505
10.924	561	10.950	504
10.976	561	11.000	504
11.026	562	11.051	506
11.077	561	11.102	509
11.127	561	11.153	511
11.178	561	11.203	516
11.229	561	11.254	521
11.280	561	11.304	525
11.330	561	11.356	529
11.381	561	11.406	535
11.431	562	11.457	539
11.483	561	11.507	543
11.533	562	11.558	546
11.584	560	11.608	548
11.634	561	11.660	548
11.685	561	11.710	548
11.735	562	11.761	546
11.787	562	11.811	544
11.837	562	11.862	542
11.888	561	11.913	536
11.938	561	11.964	533
11.989	562	12.014	527
12.040	561	12.065	522
12.091	561	12.115	518
12.141	561	12.167	514
12.192	561	12.217	510
12.242	561	12.268	508
12.294	561	12.318	506
12.344	562	12.369	505
12.395	561	12.419	505
12.445	562	12.471	508
12.496	562	12.521	510
12.546	562	12.572	513
12.598	562	12.622	517
12.648	561	12.673	522
12.699	561	12.724	527
12.749	561	12.775	530
12.800	561	12.825	535
12.851	561	12.876	538
12.902	561	12.926	542
12.952	561	12.978	544
13.003	561	13.028	546
13.053	560	13.079	546
13.105	561	13.129	546
