#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  4 14:25:12 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	560	0.050	357
0.075	560	0.101	360
0.127	560	0.151	370
0.177	560	0.202	388
0.228	560	0.253	412
0.278	559	0.304	442
0.329	560	0.354	477
0.380	560	0.405	514
0.431	560	0.455	551
0.481	561	0.506	585
0.532	560	0.557	618
0.582	561	0.608	644
0.633	560	0.658	662
0.684	560	0.709	676
0.735	560	0.759	681
0.785	561	0.811	680
0.836	561	0.861	671
0.886	560	0.912	654
0.938	561	0.962	631
0.988	560	1.013	604
1.039	560	1.064	573
1.089	561	1.115	539
1.140	560	1.165	505
1.191	561	1.216	473
1.242	560	1.266	443
1.292	560	1.318	416
1.343	560	1.368	396
1.393	560	1.419	383
1.444	560	1.469	377
1.495	560	1.520	377
1.546	560	1.570	386
1.596	560	1.622	400
1.647	560	1.672	421
1.697	560	1.723	446
1.749	561	1.773	477
1.799	560	1.824	510
1.850	560	1.875	543
1.900	560	1.926	576
1.951	560	1.976	606
2.002	560	2.027	632
2.053	560	2.077	653
2.103	560	2.129	665
2.154	560	2.179	673
2.204	560	2.230	672
2.255	561	2.280	665
2.306	560	2.331	650
2.357	560	2.381	629
2.407	561	2.433	603
2.458	561	2.483	573
2.508	561	2.534	541
2.560	561	2.584	507
2.610	560	2.635	475
2.661	560	2.686	447
2.711	560	2.737	421
2.762	560	2.787	402
2.813	560	2.838	391
2.864	560	2.889	385
2.914	559	2.940	386
2.965	560	2.991	395
3.015	559	3.041	410
3.066	560	3.092	430
3.117	560	3.142	455
3.168	560	3.193	484
3.218	560	3.244	514
3.269	559	3.295	544
3.319	560	3.345	574
3.371	560	3.396	602
3.421	560	3.446	625
3.472	560	3.498	642
3.522	560	3.548	654
3.573	560	3.599	659
3.624	561	3.649	659
3.675	561	3.700	651
3.725	561	3.751	638
3.776	560	3.802	619
3.826	561	3.852	596
3.878	559	3.903	569
3.928	561	3.953	540
3.979	560	4.004	510
4.029	560	4.055	482
4.080	560	4.106	455
4.130	560	4.156	433
4.182	560	4.207	415
4.232	560	4.257	403
4.283	560	4.309	396
4.333	560	4.359	396
4.384	560	4.410	403
4.435	560	4.460	417
4.486	560	4.511	434
4.536	560	4.562	457
4.587	560	4.613	483
4.637	560	4.663	511
4.689	559	4.714	540
4.739	560	4.764	569
4.790	560	4.815	595
4.840	560	4.866	616
4.891	560	4.917	634
4.941	560	4.967	646
4.993	560	5.018	652
5.043	561	5.068	651
5.094	561	5.120	645
5.144	561	5.170	632
5.195	560	5.221	614
5.246	560	5.271	592
5.297	561	5.322	567
5.347	561	5.373	540
5.398	560	5.424	510
5.448	560	5.474	484
5.500	560	5.525	460
5.550	560	5.575	438
5.601	560	5.626	422
5.651	560	5.677	411
5.702	560	5.728	405
5.752	560	5.778	406
5.804	560	5.829	412
5.854	560	5.879	425
5.905	560	5.931	442
5.955	560	5.981	463
6.006	560	6.032	488
6.057	561	6.082	514
6.108	560	6.133	540
6.158	560	6.184	566
6.209	560	6.235	590
6.259	560	6.285	610
6.311	560	6.336	626
6.361	560	6.386	636
6.412	561	6.438	641
6.462	560	6.488	641
6.513	560	6.539	635
6.563	560	6.589	624
6.615	560	6.640	608
6.665	561	6.690	588
6.716	560	6.742	565
6.766	560	6.792	540
6.817	560	6.843	513
6.868	560	6.893	489
6.919	560	6.944	466
6.969	560	6.995	446
7.020	560	7.046	430
7.070	560	7.096	418
7.122	560	7.147	413
7.172	560	7.197	413
7.223	560	7.249	420
7.273	560	7.299	430
7.324	560	7.350	447
7.374	560	7.400	466
7.426	560	7.451	489
7.476	559	7.501	513
7.527	560	7.553	539
7.577	560	7.603	562
7.628	560	7.654	585
7.679	560	7.704	605
7.730	560	7.755	620
7.780	560	7.806	629
7.831	560	7.857	635
7.881	560	7.907	635
7.933	561	7.958	629
7.983	560	8.008	618
8.034	560	8.060	603
8.084	560	8.110	585
8.135	561	8.161	562
8.185	561	8.211	539
8.237	560	8.262	515
8.287	560	8.312	492
8.338	561	8.364	469
8.388	560	8.414	452
8.439	560	8.465	437
8.490	560	8.515	425
8.541	560	8.566	421
8.591	560	8.617	422
8.642	560	8.668	427
8.692	560	8.718	437
8.744	560	8.769	452
8.794	561	8.819	470
8.845	560	8.871	491
8.895	560	8.921	514
8.946	560	8.972	537
8.996	560	9.022	559
9.048	560	9.073	580
9.098	560	9.123	599
9.149	560	9.175	612
9.199	560	9.225	623
9.250	561	9.276	627
9.301	560	9.326	628
9.352	560	9.377	622
9.402	560	9.428	612
9.453	560	9.479	598
9.503	560	9.529	581
9.555	560	9.580	560
9.605	560	9.630	539
9.656	559	9.682	515
9.706	560	9.732	494
9.757	560	9.783	474
9.807	560	9.833	457
9.859	560	9.884	442
9.909	560	9.934	433
9.960	560	9.986	429
10.010	561	10.036	427
10.061	560	10.087	432
10.113	559	10.137	442
10.163	560	10.188	456
10.214	560	10.239	473
10.264	559	10.290	493
10.315	560	10.340	514
10.366	560	10.391	536
10.417	560	10.441	557
10.467	560	10.493	577
10.518	560	10.543	594
10.568	560	10.594	608
10.620	560	10.644	617
10.670	560	10.695	620
10.721	560	10.745	621
10.771	560	10.797	617
10.822	560	10.847	607
10.872	560	10.898	594
10.924	560	10.948	578
10.974	560	10.999	559
11.025	560	11.050	538
11.075	560	11.101	518
11.126	560	11.151	497
11.177	561	11.202	477
11.228	560	11.252	461
11.278	560	11.304	448
11.329	560	11.354	440
11.379	560	11.405	434
11.431	560	11.455	434
11.481	560	11.506	439
11.532	561	11.556	448
11.582	560	11.608	461
11.633	560	11.658	476
11.683	560	11.709	495
11.735	560	11.759	514
11.785	560	11.810	535
11.836	560	11.861	555
11.886	560	11.912	572
11.937	560	11.962	589
11.988	560	12.013	602
12.039	560	12.063	610
12.089	560	12.115	615
12.140	560	12.165	616
12.190	559	12.216	611
12.242	560	12.266	603
12.292	560	12.317	590
12.343	560	12.367	575
12.393	560	12.419	557
12.444	560	12.469	537
12.494	560	12.520	518
12.546	560	12.570	499
12.596	560	12.621	481
12.647	560	12.672	465
12.697	560	12.723	453
12.748	560	12.773	445
12.799	560	12.824	439
12.850	560	12.874	440
12.900	560	12.926	443
12.951	560	12.976	452
13.001	560	13.027	464
13.053	560	13.077	479
13.103	560	13.128	497
13.154	560	13.178	515
13.204	561	13.230	534
13.255	561	13.281	553
13.305	560	13.331	571
13.357	560	13.382	585
13.407	560	13.432	598
13.458	560	13.484	605
13.508	561	13.534	609
13.559	561	13.585	610
13.610	560	13.635	606
13.661	560	13.686	599
13.711	560	13.737	586
13.762	560	13.788	572
13.812	560	13.838	555
13.864	560	13.889	537
13.914	560	13.939	518
13.965	560	13.991	500
14.015	560	14.041	483
14.066	560	14.092	468
14.116	560	14.142	456
14.168	560	14.193	449
14.218	561	14.243	444
14.269	560	14.295	445
14.319	560	14.345	449
14.370	561	14.396	457
14.421	560	14.446	468
14.472	560	14.497	482
14.522	561	14.548	498
14.573	560	14.599	516
14.623	561	14.649	534
14.675	560	14.700	551
14.725	560	14.750	567
14.776	560	14.802	581
14.826	560	14.852	593
14.877	560	14.903	602
14.927	560	14.953	605
14.979	560	15.004	606
15.029	560	15.054	601
15.080	560	15.106	594
15.130	561	15.156	583
15.181	561	15.207	570
15.232	561	15.257	554
15.283	560	15.308	536
15.333	560	15.359	518
15.384	560	15.410	502
15.434	560	15.460	486
15.486	560	15.511	472
15.536	560	15.561	462
15.587	560	15.613	454
15.637	560	15.663	451
15.688	560	15.714	448
15.738	560	15.764	452
15.790	560	15.815	460
15.840	561	15.865	471
