#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  4 15:19:23 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
5.044	443	5.069	550
5.095	416	5.120	549
5.145	389	5.170	549
5.196	364	5.222	548
5.246	343	5.272	549
5.297	325	5.323	549
5.348	313	5.373	549
5.399	306	5.424	549
5.449	304	5.475	549
5.500	308	5.526	549
5.550	318	5.576	549
5.602	333	5.627	549
5.652	350	5.677	549
5.703	372	5.729	549
5.753	397	5.779	548
5.804	423	5.830	549
5.855	448	5.880	550
5.906	472	5.931	549
5.956	493	5.981	549
6.007	510	6.033	548
6.057	523	6.083	550
6.108	530	6.134	549
6.159	532	6.184	549
6.210	528	6.235	549
6.260	519	6.286	549
6.311	505	6.337	549
6.361	486	6.387	549
6.413	465	6.438	550
6.463	441	6.488	549
6.514	416	6.540	549
6.564	392	6.590	549
6.615	369	6.641	548
6.666	348	6.691	549
6.717	332	6.742	548
6.767	320	6.792	549
6.818	313	6.844	548
6.868	311	6.894	549
6.919	315	6.945	548
6.970	323	6.995	549
7.021	336	7.046	549
7.071	354	7.097	549
7.122	375	7.148	548
7.172	398	7.198	549
7.224	422	7.249	549
7.274	446	7.299	549
7.325	468	7.351	549
7.375	488	7.401	549
7.426	504	7.452	549
7.477	516	7.502	549
7.528	522	7.553	550
7.578	524	7.604	549
7.629	520	7.655	549
7.679	511	7.705	549
7.730	499	7.756	549
7.781	480	7.806	549
7.832	462	7.857	549
7.883	438	7.908	549
7.933	415	7.959	550
7.984	393	8.009	549
8.035	371	8.060	549
8.086	352	8.110	548
8.136	337	8.162	548
8.187	327	8.212	550
8.237	320	8.263	550
8.289	318	8.313	549
8.339	321	8.364	549
8.390	330	8.415	549
8.440	342	8.466	549
8.491	358	8.516	549
8.541	377	8.567	549
8.593	400	8.617	550
8.643	422	8.668	549
8.694	444	8.719	549
8.744	464	8.770	549
8.795	482	8.820	549
8.846	497	8.871	549
8.897	508	8.921	549
8.947	515	8.973	550
8.998	517	9.023	549
9.048	512	9.074	549
9.100	504	9.124	549
9.150	492	9.175	549
9.201	477	9.226	549
9.251	458	9.277	549
9.302	437	9.327	549
9.352	416	9.378	548
9.404	394	9.428	549
9.454	374	9.479	549
9.505	356	9.530	549
9.555	342	9.581	548
9.606	332	9.631	549
9.657	326	9.682	548
9.708	324	9.732	549
9.758	328	9.784	549
9.809	336	9.834	549
9.859	347	9.885	548
9.911	362	9.935	549
9.961	380	9.986	549
10.012	400	10.037	548
10.062	420	10.088	549
10.113	442	10.138	549
10.164	461	10.189	549
10.215	477	10.239	549
10.265	492	10.290	549
10.316	502	10.341	549
10.366	507	10.392	550
10.417	510	10.442	549
10.468	506	10.493	548
10.519	498	10.543	549
10.569	486	10.595	548
10.620	472	10.645	549
10.670	455	10.696	549
10.722	435	10.746	548
10.772	415	10.797	548
10.823	395	10.848	549
10.873	377	10.899	549
10.924	360	10.950	549
10.975	347	11.000	549
11.026	338	11.051	549
11.076	332	11.101	549
11.127	331	11.153	548
11.177	334	11.203	549
11.228	341	11.254	549
11.279	352	11.304	549
11.330	366	11.355	549
11.380	383	11.406	549
11.431	401	11.457	548
11.481	421	11.507	549
11.533	439	11.558	549
11.583	458	11.608	548
11.634	473	11.660	549
11.684	487	11.710	549
11.735	496	11.761	548
11.786	502	11.811	549
11.837	503	11.862	548
11.887	499	11.912	549
11.938	492	11.964	549
11.988	482	12.014	549
12.039	467	12.065	549
12.090	451	12.115	549
12.141	433	12.166	549
12.191	415	12.217	548
12.242	396	12.268	549
12.292	379	12.318	549
12.344	364	12.369	549
12.394	352	12.419	549
12.445	343	12.471	548
12.495	338	12.521	549
12.546	336	12.572	549
12.597	340	12.622	549
12.648	346	12.673	549
12.698	357	12.724	549
12.749	370	12.775	549
12.799	386	12.825	549
12.850	403	12.876	549
12.901	422	12.926	549
12.952	438	12.977	550
13.002	455	13.028	549
13.053	470	13.079	549
13.103	482	13.129	549
13.155	491	13.180	548
13.205	496	13.230	549
13.256	497	13.282	550
13.306	494	13.332	550
13.357	488	13.383	548
13.408	478	13.433	549
13.459	465	13.484	549
13.509	449	13.535	549
13.560	432	13.586	549
13.610	416	13.636	550
13.661	398	13.687	549
13.712	382	13.737	549
13.763	368	13.788	549
13.813	356	13.839	548
13.864	348	13.890	548
13.914	343	13.940	549
13.966	342	13.991	548
14.016	345	14.041	548
14.067	352	14.093	548
14.117	361	14.143	548
14.168	373	14.194	549
14.219	388	14.244	549
14.270	404	14.295	549
14.320	421	14.346	549
14.371	438	14.397	548
14.421	454	14.447	548
14.472	467	14.498	549
14.523	478	14.548	549
14.574	486	14.599	549
14.624	491	14.650	549
14.675	492	14.701	549
14.725	489	14.751	549
14.777	483	14.802	548
14.827	473	14.852	549
14.878	460	14.904	549
14.928	446	14.954	549
14.979	431	15.005	549
15.030	415	15.055	549
15.081	398	15.106	548
15.131	385	15.157	549
15.182	371	15.208	549
15.232	360	15.258	549
15.284	353	15.309	549
15.334	348	15.359	549
15.385	348	15.410	550
15.435	350	15.461	548
15.486	356	15.512	549
15.536	366	15.562	549
15.588	377	15.613	549
15.638	391	15.663	549
15.689	406	15.715	549
15.739	421	15.765	549
15.790	437	15.816	548
15.841	452	15.866	549
15.892	464	15.917	549
15.942	474	15.968	549
15.993	482	16.019	549
16.043	486	16.069	550
16.095	487	16.120	549
16.145	484	16.170	550
16.196	478	16.221	548
16.246	469	16.272	549
16.297	458	16.323	549
16.347	445	16.373	549
16.399	430	16.424	549
16.449	415	16.474	549
16.500	399	16.526	549
16.550	387	16.576	549
16.601	374	16.627	550
16.652	364	16.677	549
16.703	357	16.728	549
16.753	353	16.779	548
16.804	353	16.830	550
16.854	355	16.880	549
16.906	362	16.931	549
16.956	369	16.981	548
17.007	381	17.032	549
17.057	393	17.083	549
17.108	408	17.134	549
17.158	421	17.184	549
17.210	437	17.235	549
17.260	450	17.285	550
17.311	461	17.337	548
17.361	470	17.387	549
17.412	477	17.438	549
17.463	481	17.488	549
17.514	482	17.539	549
17.564	479	17.590	550
17.615	474	17.641	548
17.665	465	17.691	549
17.717	455	17.742	549
17.767	442	17.792	549
17.818	429	17.844	549
17.868	415	17.894	549
17.919	401	17.945	549
17.969	389	17.995	549
18.021	377	18.046	549
18.071	368	18.096	548
18.122	362	18.148	549
18.172	358	18.198	549
18.223	358	18.249	549
18.274	360	18.299	548
18.325	366	18.350	549
18.375	373	18.401	549
18.426	384	18.452	549
18.476	395	18.502	549
18.528	408	18.553	549
18.578	422	18.603	549
18.629	435	18.655	549
18.679	448	18.705	548
18.730	459	18.756	548
18.780	467	18.806	549
18.832	473	18.857	550
18.882	477	18.907	548
18.933	477	18.959	548
18.983	475	19.009	549
19.034	469	19.060	550
19.085	462	19.110	549
19.136	452	19.161	549
19.186	440	19.212	549
19.237	427	19.263	549
19.287	414	19.313	549
19.339	402	19.364	549
19.389	390	19.414	548
19.440	380	19.466	548
19.490	372	19.516	549
19.541	366	19.567	549
19.591	363	19.617	548
19.643	363	19.668	549
19.693	365	19.718	548
19.744	370	19.770	549
19.794	378	19.820	549
19.845	387	19.871	549
19.896	398	19.921	549
19.947	410	19.972	549
19.997	423	20.023	549
20.048	435	20.074	549
20.098	447	20.124	548
20.150	456	20.175	549
20.200	463	20.225	549
20.251	469	20.277	548
20.301	472	20.327	549
20.352	473	20.378	548
20.402	470	20.428	548
20.454	465	20.479	549
20.505	458	20.529	549
20.555	449	20.581	549
20.606	437	20.631	549
20.656	426	20.682	549
20.708	415	20.732	549
20.758	403	20.783	549
20.809	392	20.834	549
20.859	384	20.885	548
20.910	376	20.935	549
20.961	370	20.986	549
21.012	367	21.036	549
21.062	367	21.088	548
21.113	369	21.138	548
21.163	374	21.189	548
21.215	382	21.239	548
21.265	390	21.290	548
21.316	401	21.340	549
21.366	412	21.392	548
21.417	422	21.442	549
21.467	434	21.493	549
21.519	445	21.543	549
21.569	453	21.594	550
21.620	461	21.645	549
21.670	466	21.696	550
21.721	468	21.746	549
21.772	468	21.797	549
21.823	466	21.847	549
21.873	461	21.899	550
21.924	454	21.949	549
21.974	446	22.000	549
22.026	436	22.050	549
22.076	426	22.101	549
22.127	414	22.151	549
22.177	404	22.203	549
22.228	394	22.253	549
22.278	386	22.304	548
22.330	379	22.354	549
22.380	374	22.405	549
22.431	372	22.456	549
22.481	371	22.507	548
22.532	374	22.557	548
22.583	379	22.608	549
22.634	385	22.658	549
22.684	393	22.710	549
22.735	402	22.760	549
22.785	412	22.811	549
22.837	423	22.861	548
22.887	433	22.912	549
22.938	442	22.962	549
22.988	452	23.014	548
23.039	458	23.064	548
23.089	462	23.115	549
23.141	464	23.165	548
23.191	464	23.216	548
23.242	462	23.267	548
23.292	458	23.318	549
23.343	451	23.368	548
23.394	444	23.419	549
23.445	435	23.470	549
23.495	425	23.521	549
23.546	415	23.572	549
23.596	405	23.622	549
23.648	397	23.673	549
23.698	389	23.723	548
23.749	382	23.775	549
23.799	378	23.825	548
23.850	376	23.876	548
23.900	376	23.926	549
23.952	378	23.977	548
24.002	382	24.027	548
24.053	388	24.079	548
24.103	396	24.129	548
24.154	405	24.180	549
24.205	414	24.230	549
24.256	423	24.281	549
24.306	433	24.332	549
24.357	442	24.383	549
24.407	448	24.433	549
24.459	454	24.484	549
24.509	459	24.534	549
24.560	460	24.586	548
24.610	460	24.636	548
24.661	459	24.687	549
24.711	454	24.737	549
24.763	448	24.788	549
24.813	441	24.838	550
24.864	432	24.890	549
24.914	424	24.940	549
24.965	414	24.991	549
25.016	405	25.041	549
25.067	398	25.092	549
25.117	391	25.143	549
25.168	385	25.194	550
25.218	382	25.244	549
25.270	380	25.295	548
25.320	380	25.345	548
25.371	382	25.397	549
25.421	386	25.447	549
25.472	392	25.498	548
25.522	399	25.548	549
25.574	406	25.599	549
25.624	415	25.649	549
25.675	423	25.701	549
25.725	432	25.751	548
25.776	440	25.802	549
25.827	446	25.852	549
25.878	451	25.903	549
25.928	455	25.954	550
25.979	457	26.005	549
26.029	456	26.055	549
26.081	455	26.106	550
26.131	451	26.156	549
26.182	445	26.208	548
26.232	439	26.258	548
26.283	431	26.309	549
26.333	423	26.359	549
26.385	415	26.410	548
26.435	407	26.460	548
26.486	400	26.512	549
26.536	393	26.562	548
26.587	389	26.613	549
26.638	385	26.663	549
26.689	384	26.714	550
26.740	384	26.765	548
26.790	387	26.816	549
26.841	390	26.866	549
26.892	395	26.917	549
26.943	401	26.967	550
26.993	409	27.019	547
27.044	416	27.069	548
27.094	424	27.120	548
27.146	431	27.170	549
27.196	439	27.221	549
27.247	444	27.271	549
27.297	449	27.323	548
27.348	452	27.373	548
27.398	453	27.424	549
27.450	453	27.474	549
27.500	451	27.525	548
27.551	447	27.576	548
27.601	443	27.627	548
27.652	437	27.677	549
27.703	430	27.728	548
27.754	423	27.778	549
27.804	414	27.830	549
27.855	408	27.880	548
27.905	401	27.931	549
27.957	397	27.981	549
28.007	391	28.032	549
28.058	390	28.082	549
28.108	388	28.134	549
28.159	388	28.184	548
28.209	390	28.235	549
28.261	393	28.285	548
28.311	398	28.336	548
28.362	404	28.387	549
28.412	410	28.438	547
28.463	417	28.488	548
28.514	424	28.539	549
28.565	431	28.589	549
28.615	436	28.641	549
28.666	441	28.691	549
28.716	445	28.742	549
28.768	448	28.792	549
28.818	450	28.843	548
28.869	449	28.893	549
28.919	448	28.945	549
28.970	444	28.995	549
29.020	440	29.046	549
29.072	434	29.096	549
29.122	428	29.147	549
29.173	422	29.198	548
29.223	415	29.249	548
29.274	410	29.299	549
29.325	404	29.350	549
29.376	399	29.400	548
29.426	395	29.452	549
29.477	392	29.502	548
29.527	391	29.553	548
29.579	392	29.603	548
29.629	394	29.654	548
29.680	397	29.704	548
29.730	401	29.756	549
29.781	406	29.807	550
29.831	412	29.857	549
29.883	418	29.908	549
29.933	424	29.958	549
29.984	430	30.010	549
30.034	435	30.060	548
30.085	440	30.111	549
30.136	443	30.161	548
30.187	446	30.212	548
30.237	446	30.263	547
30.288	446	30.314	548
30.338	444	30.364	549
30.390	441	30.415	549
30.440	437	30.465	548
30.491	432	30.517	548
30.541	427	30.567	549
30.592	421	30.618	549
30.642	416	30.668	549
30.694	410	30.719	549
30.744	405	30.769	549
30.795	401	30.821	549
30.845	398	30.871	549
30.896	396	30.922	548
30.947	395	30.972	549
30.998	396	31.023	549
31.048	397	31.074	550
31.099	400	31.125	548
31.149	403	31.175	549
31.201	408	31.226	549
31.251	413	31.276	549
31.302	418	31.328	550
31.352	425	31.378	548
31.403	429	31.429	548
31.453	433	31.479	549
31.505	438	31.530	549
31.555	440	31.580	549
31.606	442	31.632	549
31.656	443	31.682	547
31.707	443	31.733	548
31.758	440	31.783	549
31.809	438	31.834	550
31.859	434	31.885	548
31.910	430	31.936	549
31.960	425	31.986	549
32.012	420	32.037	549
32.062	416	32.087	548
32.113	411	32.139	549
32.163	406	32.189	549
32.214	403	32.240	548
32.264	400	32.290	549
32.316	399	32.341	548
32.366	398	32.391	549
32.417	399	32.443	548
32.467	400	32.493	548
32.518	403	32.544	548
32.569	406	32.594	549
32.620	411	32.645	549
32.670	415	32.696	548
32.721	419	32.747	550
32.771	424	32.797	548
32.823	428	32.848	549
32.873	432	32.898	548
32.924	435	32.950	549
32.974	437	33.000	548
33.025	440	33.051	548
33.076	438	33.101	548
33.127	440	33.152	549
33.177	437	33.202	548
33.228	435	33.254	550
33.278	432	33.304	548
33.329	428	33.355	548
33.380	424	33.405	548
33.431	420	33.456	548
33.481	416	33.507	550
33.532	412	33.558	549
33.582	409	33.608	549
33.634	405	33.659	548
33.684	403	33.709	549
33.735	402	33.761	549
33.785	401	33.811	549
33.836	402	33.862	548
33.887	404	33.912	549
33.938	406	33.963	549
33.988	409	34.013	549
34.039	413	34.065	548
34.089	416	34.115	550
34.140	421	34.166	548
34.191	425	34.216	548
34.242	428	34.267	549
34.293	431	34.318	548
34.343	433	34.369	548
34.394	436	34.419	548
34.445	436	34.470	548
34.496	437	34.520	548
34.546	437	34.572	548
34.597	434	34.622	549
34.647	432	34.673	548
34.699	430	34.723	548
34.749	427	34.774	550
34.800	423	34.824	548
34.850	420	34.876	548
34.901	415	34.926	548
34.951	413	34.977	549
35.003	410	35.027	549
35.053	408	35.078	549
35.104	406	35.129	548
35.154	405	35.180	549
35.205	405	35.230	548
35.256	407	35.281	549
35.307	408	35.331	548
35.357	410	35.383	549
35.408	412	35.433	549
35.458	415	35.484	549
35.510	418	35.534	549
35.560	421	35.585	548
35.611	424	35.636	548
35.661	427	35.687	548
35.712	430	35.737	548
35.762	432	35.788	548
35.814	433	35.838	548
35.864	433	35.889	548
35.915	433	35.940	549
35.965	433	35.991	548
36.016	432	36.041	548
36.067	430	36.092	548
36.118	427	36.142	548
36.168	425	36.194	548
36.219	422	36.244	549
36.269	420	36.295	548
36.321	417	36.345	548
36.371	414	36.396	549
36.422	411	36.447	548
36.472	409	36.498	548
36.523	409	36.548	548
36.573	408	36.599	548
36.625	409	36.649	548
36.675	410	36.700	549
36.726	411	36.751	549
36.776	412	36.802	549
36.827	414	36.852	548
36.878	417	36.903	549
36.929	419	36.953	549
36.979	422	37.005	549
37.030	424	37.055	548
37.080	426	37.106	548
37.132	428	37.156	549
37.182	429	37.207	548
37.233	431	37.258	548
37.283	430	37.309	548
37.334	431	37.360	547
37.384	430	37.410	548
37.436	429	37.461	548
37.486	427	37.511	548
37.537	425	37.563	549
37.587	423	37.613	548
37.638	421	37.664	548
37.689	419	37.714	548
37.740	416	37.765	548
37.790	416	37.816	549
37.841	414	37.867	549
37.891	414	37.917	548
37.943	411	37.968	549
37.993	412	38.018	548
38.044	412	38.070	548
38.094	413	38.120	548
38.145	414	38.171	548
38.196	415	38.221	548
38.247	416	38.272	549
38.297	418	38.322	547
38.348	421	38.374	548
38.398	422	38.424	548
38.449	424	38.475	548
38.500	425	38.525	548
38.551	426	38.576	548
38.601	427	38.627	549
38.652	429	38.678	548
38.702	428	38.728	548
38.754	427	38.779	549
38.804	427	38.829	548
38.855	426	38.881	549
38.905	424	38.931	548
38.956	423	38.982	549
39.007	422	39.032	549
39.058	420	39.083	549
39.108	419	39.133	549
39.159	418	39.185	548
39.209	416	39.235	548
39.260	415	39.286	548
39.311	415	39.336	548
39.362	415	39.387	549
39.412	413	39.438	549
39.463	415	39.489	549
39.513	416	39.539	549
39.565	417	39.590	548
39.615	418	39.640	549
39.666	419	39.692	548
39.716	420	39.742	548
39.767	422	39.793	547
39.818	422	39.843	549
39.869	424	39.894	549
39.919	425	39.944	548
39.970	424	39.996	548
40.020	425	40.046	549
40.071	425	40.097	548
40.122	425	40.147	548
40.173	425	40.198	549
40.223	424	40.249	548
40.274	423	40.300	548
40.324	422	40.350	548
40.376	422	40.401	549
40.426	420	40.451	548
40.477	419	40.503	549
40.527	419	40.553	549
40.578	418	40.604	548
40.629	418	40.654	549
40.680	417	40.705	548
40.730	417	40.756	549
40.781	418	40.807	549
40.831	418	40.857	548
40.882	418	40.908	549
40.933	419	40.958	548
40.984	419	41.009	549
41.035	420	41.060	549
41.085	421	41.111	548
41.136	421	41.161	548
41.187	422	41.212	548
41.238	422	41.262	549
41.288	423	41.314	548
41.339	423	41.364	548
41.389	423	41.415	548
41.441	423	41.465	548
41.491	423	41.516	548
41.542	422	41.567	548
41.592	422	41.618	548
41.643	422	41.668	548
41.693	421	41.719	548
41.745	421	41.769	549
41.795	420	41.820	548
41.846	420	41.871	548
41.896	419	41.922	548
41.947	420	41.972	548
41.998	419	42.023	548
42.049	419	42.073	548
42.099	420	42.125	548
42.150	419	42.175	548
42.200	420	42.226	550
42.252	421	42.276	548
42.302	421	42.327	549
42.353	421	42.378	548
42.403	421	42.429	548
42.454	421	42.479	549
42.504	421	42.530	548
42.556	421	42.580	548
42.606	421	42.631	548
42.657	422	42.682	548
42.707	421	42.733	548
42.758	421	42.783	548
42.809	421	42.834	548
42.860	421	42.884	548
42.910	420	42.936	548
42.961	421	42.986	548
43.011	421	43.037	548
43.063	420	43.087	548
