#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  4 15:19:23 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	355	0.050	549
0.076	391	0.102	549
0.126	428	0.152	549
0.177	464	0.203	549
0.228	497	0.253	551
0.279	526	0.304	550
0.329	548	0.355	550
0.380	564	0.406	550
0.430	573	0.456	550
0.482	574	0.507	549
0.532	568	0.557	549
0.583	554	0.609	549
0.633	534	0.659	549
0.684	507	0.710	550
0.735	479	0.760	549
0.786	446	0.811	550
0.836	412	0.861	548
0.887	379	0.913	549
0.937	348	0.963	549
0.988	320	1.014	549
1.039	298	1.064	548
1.090	285	1.115	549
1.140	277	1.166	550
1.191	275	1.217	550
1.241	280	1.267	549
1.293	291	1.318	549
1.343	309	1.368	548
1.394	329	1.420	549
1.444	358	1.470	549
1.495	390	1.521	549
1.547	422	1.571	549
1.597	455	1.622	549
1.648	486	1.672	549
1.698	513	1.724	549
1.749	535	1.774	549
1.799	551	1.825	549
1.851	561	1.875	549
1.901	564	1.926	550
1.952	559	1.977	550
2.002	547	2.028	550
2.053	528	2.078	550
2.104	504	2.129	549
2.155	477	2.179	549
2.205	446	2.231	548
2.256	414	2.281	550
2.306	382	2.332	549
2.358	353	2.382	549
2.408	327	2.433	549
2.459	307	2.484	549
2.509	293	2.535	549
2.560	287	2.585	549
2.610	284	2.636	549
2.662	289	2.686	549
2.712	301	2.737	549
2.763	317	2.788	549
2.813	340	2.839	549
2.864	366	2.889	550
2.915	395	2.940	550
2.966	425	2.990	549
3.016	455	3.042	550
3.067	482	3.092	549
3.117	506	3.143	549
3.169	525	3.193	549
3.219	540	3.244	549
3.270	547	3.295	549
3.320	550	3.346	549
3.371	544	3.396	549
3.421	534	3.447	549
3.473	518	3.497	549
3.523	497	3.548	550
3.574	473	3.599	549
3.624	445	3.650	549
3.675	416	3.700	550
3.726	388	3.751	550
3.777	361	3.801	549
3.827	337	3.853	549
3.878	319	3.903	549
3.928	305	3.954	549
3.980	298	4.004	549
4.030	294	4.055	549
4.081	299	4.106	549
4.131	308	4.157	549
4.182	324	4.208	549
4.232	345	4.258	549
4.284	367	4.309	549
4.334	395	4.359	549
4.385	423	4.411	549
4.435	451	4.461	550
4.486	477	4.512	548
4.537	499	4.562	549
4.588	518	4.613	550
4.638	532	4.664	550
4.689	540	4.715	550
4.739	541	4.765	549
4.791	537	4.816	549
4.841	527	4.866	549
4.892	512	4.918	549
4.942	491	4.968	548
4.993	469	5.019	549
