#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  4 14:25:12 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	558	0.051	806
0.076	558	0.102	788
0.127	558	0.153	751
0.177	558	0.203	723
0.229	559	0.254	686
0.279	558	0.304	630
0.330	558	0.356	586
0.380	557	0.406	532
0.431	557	0.457	481
0.482	557	0.507	424
0.533	558	0.558	370
0.583	558	0.609	325
0.634	558	0.660	287
0.684	557	0.710	262
0.735	558	0.761	256
0.786	558	0.811	271
0.837	558	0.862	306
0.887	558	0.913	339
0.938	557	0.964	363
0.988	557	1.014	403
1.040	557	1.065	452
1.090	557	1.115	511
1.141	558	1.167	566
1.191	558	1.217	621
1.242	558	1.268	668
1.293	558	1.318	710
1.344	558	1.369	742
1.394	558	1.420	762
1.445	558	1.471	766
1.495	558	1.521	753
1.547	558	1.572	732
1.597	558	1.622	713
1.648	558	1.673	675
1.698	559	1.724	631
1.749	558	1.775	586
1.799	559	1.825	533
1.851	558	1.876	483
1.901	558	1.926	432
1.952	558	1.978	386
2.002	558	2.028	346
2.053	558	2.079	313
2.104	558	2.129	293
2.155	557	2.180	288
2.205	558	2.231	301
2.256	557	2.282	324
2.306	557	2.332	352
2.358	558	2.383	385
2.408	558	2.433	422
2.459	558	2.484	466
2.509	558	2.535	514
2.560	559	2.586	562
2.610	558	2.636	609
2.662	558	2.687	653
2.712	558	2.737	687
2.763	558	2.789	712
2.813	558	2.839	728
2.864	558	2.890	730
2.915	558	2.940	720
2.966	558	2.991	706
3.016	558	3.042	687
3.067	558	3.093	657
3.117	558	3.143	620
3.169	558	3.194	579
3.219	557	3.244	534
3.270	558	3.295	490
3.320	557	3.346	447
3.371	557	3.397	406
3.421	557	3.447	371
3.473	558	3.498	343
3.523	558	3.548	328
3.574	558	3.600	325
3.624	559	3.650	330
3.675	558	3.701	345
3.726	558	3.751	368
3.777	558	3.802	396
3.827	558	3.853	431
3.878	558	3.904	471
3.928	557	3.954	513
3.980	558	4.005	557
4.030	558	4.055	600
4.081	557	4.107	639
4.131	558	4.157	669
4.182	558	4.208	692
4.232	558	4.258	705
4.284	558	4.309	707
4.334	558	4.359	703
4.385	558	4.411	690
4.435	558	4.461	671
4.486	558	4.512	644
4.537	558	4.562	612
4.588	559	4.613	574
4.638	558	4.664	533
4.689	559	4.715	493
4.739	559	4.765	455
4.791	558	4.816	422
4.841	558	4.866	393
4.892	558	4.918	371
4.942	558	4.968	358
4.993	558	5.019	352
5.043	557	5.069	357
5.095	557	5.120	368
5.145	557	5.170	389
5.196	557	5.222	414
5.246	557	5.272	444
5.297	558	5.323	479
5.348	558	5.373	514
5.399	558	5.424	551
5.449	558	5.475	587
5.500	559	5.526	619
5.550	559	5.576	647
5.602	558	5.627	666
5.652	559	5.677	676
5.703	559	5.729	681
5.753	558	5.779	679
5.804	558	5.830	670
5.854	558	5.880	654
5.906	558	5.931	632
5.956	558	5.981	605
6.007	558	6.033	573
6.057	558	6.083	539
6.108	558	6.134	503
6.159	558	6.184	471
6.210	557	6.235	439
6.260	558	6.286	414
6.311	558	6.337	393
6.361	558	6.387	379
6.413	558	6.438	373
6.463	558	6.488	373
6.514	558	6.540	382
6.564	559	6.590	398
6.615	558	6.641	421
6.665	559	6.691	447
6.717	558	6.742	477
6.768	558	6.792	510
6.818	557	6.844	543
6.869	558	6.894	576
6.919	558	6.945	605
6.971	558	6.995	631
7.021	558	7.046	651
7.072	558	7.097	661
7.122	558	7.148	667
7.173	558	7.198	666
7.224	559	7.249	658
7.275	559	7.299	643
7.325	559	7.351	624
7.376	558	7.401	599
7.426	558	7.452	570
7.478	558	7.502	539
7.528	558	7.553	507
7.579	558	7.603	476
7.629	558	7.655	448
7.680	558	7.705	425
7.730	558	7.756	406
7.782	558	7.806	393
7.832	557	7.857	388
7.883	558	7.908	387
7.933	558	7.959	395
7.984	558	8.009	409
8.035	558	8.060	428
8.086	558	8.110	453
8.136	558	8.162	480
8.187	559	8.212	509
8.237	557	8.263	539
8.289	558	8.313	568
8.339	559	8.364	596
8.390	558	8.414	619
8.440	558	8.466	637
8.491	558	8.516	649
8.541	558	8.567	654
8.593	558	8.617	654
8.643	558	8.668	646
8.694	558	8.719	634
8.744	558	8.770	617
8.795	557	8.820	595
8.846	558	8.871	569
8.897	558	8.921	541
8.947	558	8.973	512
8.998	558	9.023	482
9.048	558	9.074	457
9.100	558	9.124	435
9.150	558	9.175	417
9.201	558	9.225	406
9.251	558	9.277	399
9.302	559	9.327	398
9.352	558	9.378	406
9.404	558	9.428	417
9.454	558	9.479	435
9.505	558	9.530	457
9.555	558	9.581	482
9.606	558	9.631	508
9.657	558	9.682	536
9.708	558	9.733	563
9.758	558	9.784	589
9.809	558	9.835	610
9.859	558	9.885	627
9.911	558	9.936	639
9.961	558	9.986	644
10.012	559	10.038	644
10.062	559	10.088	638
10.113	558	10.139	627
10.163	558	10.189	611
10.215	558	10.240	590
10.265	558	10.290	566
10.316	558	10.342	540
10.366	558	10.392	512
10.417	558	10.443	488
10.468	558	10.493	464
